"Story","Title","Result","Date","Stability","Duration (s)"
"Login feature","Login with correct credentials","SUCCESS","2022-10-31T17:39:33.1+07:00[Asia/Barnaul]","0.0","2.67"
"Login feature","Login with invalid credentials","SUCCESS","2022-10-31T17:39:35.775+07:00[Asia/Barnaul]","0.0","10.92"
