"Story","Title","Result","Date","Stability","Duration (s)"
"Login feature","Login with correct credentials","ERROR","2022-10-31T15:59:13.396+07:00[Asia/Barnaul]","0.0","3.12"
"Login feature","Login with invalid credentials","ERROR","2022-10-31T15:59:16.532+07:00[Asia/Barnaul]","0.0","12.55"
